Journal Title,Imprint,Print ISSN,Electronic ISSN,Journal URL,Publishing Model,License Options,Subject Areas
Dialogues on Digital Society,SAGE,2976-8640,2976-8640,https://journals.sagepub.com/loi/DDS,Hybrid,CC BY,
Discourse & Communication,SAGE,1750-4813,1750-4821,https://journals.sagepub.com/loi/DCM,Hybrid,CC BY,Arts & Humanities
Discourse & Society,SAGE,0957-9265,1460-3624,https://journals.sagepub.com/loi/DAS,Hybrid,CC BY,Language & Linguistics
Discourse Studies,SAGE,1461-4456,1461-7080,https://journals.sagepub.com/loi/DIS,Hybrid,CC BY,Language & Linguistics
"DIY, Alternative Cultures & Society",SAGE,2753-8702,2753-8702,https://journals.sagepub.com/loi/DIY,Hybrid,CC BY,
"Drug Science, Policy and Law",SAGE,2050-3245,2050-3245,https://journals.sagepub.com/loi/DSP,Hybrid,CCBY,Pharmacology & Toxicology
East European Politics and Societies,SAGE,0888-3254,1533-8371,https://journals.sagepub.com/loi/EEP,Hybrid,CC BY,Political Science & International Relations
Economic and Industrial Democracy,SAGE,0143-831X,1461-7099,https://journals.sagepub.com/loi/EID,Hybrid,CC BY,Business & Management
Economic Development Quarterly,SAGE,0891-2424,1552-3543,https://journals.sagepub.com/loi/EDQ,Hybrid,CC BY,Economics & Development Studies
Education and Training in Autism and Developmental Disabilities,SAGE,2154-1647,3068-1391,https://journals.sagepub.com/loi/ETA,Hybrid,CC BY,Education
Education and Urban Society,SAGE,0013-1245,1552-3535,https://journals.sagepub.com/loi/EUS,Hybrid,CC BY,Education
Education for Information,SAGE,0167-8329,1875-8649,https://journals.sagepub.com/loi/EFI,Hybrid,CC BY,Vocational & Professional Studies
"Education, Citizenship and Social Justice",SAGE,1746-1979,1746-1987,https://journals.sagepub.com/loi/ESJ,Hybrid,CC BY,Education
Educational Administration Quarterly,SAGE,0013-161X,1552-3519,https://journals.sagepub.com/loi/EAQ,Hybrid,CC BY,Education
Educational and Psychological Measurement,SAGE,0013-1644,1552-3888,https://journals.sagepub.com/loi/EPM,Hybrid,CC BY,Research Methods & Evaluation
Educational Evaluation and Policy Analysis,SAGE,0162-3737,1935-1062,https://journals.sagepub.com/loi/EPA,Hybrid,CC BY,Education
Educational Management Administration & Leadership,SAGE,1741-1432,1741-1440,https://journals.sagepub.com/loi/EMA,Hybrid,CC BY,Education
Educational Policy,SAGE,0895-9048,1552-3896,https://journals.sagepub.com/loi/EPX,Hybrid,CC BY,Education
Educational Researcher,SAGE,0013-189X,1935-102X,https://journals.sagepub.com/loi/EDR,Hybrid,CC BY,Education
E-Learning and Digital Media,SAGE,2042-7530,2042-7530,https://journals.sagepub.com/loi/LDM,Hybrid,CC BY,Education
Electronic News,SAGE,1931-2431,1931-244X,https://journals.sagepub.com/loi/ENX,Hybrid,CC BY,Communication & Media Studies
Emerging Adulthood,SAGE,2167-6968,2167-6984,https://journals.sagepub.com/loi/EAX,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Emerging Economy Studies,SAGE,2394-9015,2454-2148,https://journals.sagepub.com/loi/EMI,Hybrid,CC BY,Business & Management
Emotion Review,SAGE,1754-0739,1754-0747,https://journals.sagepub.com/loi/EMR,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Empirical Studies of the Arts,SAGE,0276-2374,1541-4493,https://journals.sagepub.com/loi/ART,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Energy & Environment,SAGE,0958-305X,2048-4070,https://journals.sagepub.com/loi/EAE,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Entrepreneurship Education and Pedagogy,SAGE,2515-1274,2515-1274,https://journals.sagepub.com/loi/EEX,Hybrid,CC BY,Business & Management
Entrepreneurship Theory and Practice,SAGE,1042-2587,1540-6520,https://journals.sagepub.com/loi/ETP,Hybrid,CC BY,Business & Management
Environment & Urbanization,SAGE,0956-2478,1746-0301,https://journals.sagepub.com/loi/EAU,Hybrid,CC BY,Economics & Development Studies
Environment and Behavior,SAGE,0013-9165,1552-390X,https://journals.sagepub.com/loi/EAB,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Environment and Planning A: Economy and Space,SAGE,0308-518X,1472-3409,https://journals.sagepub.com/loi/EPN,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Environment and Planning B: Urban Analytics and City Science,SAGE,2399-8083,2399-8091,https://journals.sagepub.com/loi/EPB,Hybrid,CCBY,"Geography, Earth & Environmental Science"
Environment and Planning C: Politics and Space,SAGE,2399-6544,2399-6552,https://journals.sagepub.com/loi/EPC,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Environment and Planning D: Society and Space,SAGE,0263-7758,1472-3433,https://journals.sagepub.com/loi/EPD,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Environment and Planning E: Nature and Space,SAGE,2514-8486,2514-8494,https://journals.sagepub.com/loi/ENE,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Environment and Planning F,SAGE,2634-9825,2634-9825,https://journals.sagepub.com/loi/EPF,Hybrid,CC BY,
Environment and Security,SAGE,2753-8796,2753-8796,https://journals.sagepub.com/loi/EAS,Hybrid,CC BY,Political Science & International Relations
Environment and Urbanization ASIA,SAGE,0975-4253,0976-3546,https://journals.sagepub.com/loi/EUA,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Environmental Law Review,SAGE,1461-4529,1740-5564,https://journals.sagepub.com/loi/ELJ,Hybrid,CC BY,Vocational & Professional Studies
Environmental Policy and Law,SAGE,0378-777X,1878-5395,https://journals.sagepub.com/loi/EPL,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Environmental Values,SAGE,0963-2719,1752-7015,https://journals.sagepub.com/loi/ENV,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Equity in Education & Society,SAGE,2752-6461,2752-6461,https://journals.sagepub.com/loi/EES,Hybrid,CC BY,Education
Ergonomics in Design,SAGE,1064-8046,-,https://journals.sagepub.com/loi/ERG,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Ethnicities,SAGE,1468-7968,1741-2706,https://journals.sagepub.com/loi/ETN,Hybrid,CC BY,Area & Ethnic Studies
Ethnography,SAGE,1466-1381,1741-2714,https://journals.sagepub.com/loi/ETH,Hybrid,CC BY,Anthropology & Archaeology
European Educational Research Journal,SAGE,1474-9041,1474-9041,https://journals.sagepub.com/loi/EER,Hybrid,CC BY,Education
European History Quarterly,SAGE,0265-6914,1461-7110,https://journals.sagepub.com/loi/EHQ,Hybrid,CC BY,Arts & Humanities
European Journal of Communication,SAGE,0267-3231,1460-3705,https://journals.sagepub.com/loi/EJC,Hybrid,CC BY,Communication & Media Studies
European Journal of Criminology,SAGE,1477-3708,1741-2609,https://journals.sagepub.com/loi/EUC,Hybrid,CC BY,Criminology & Criminal Justice
European Journal of Cultural Studies,SAGE,1367-5494,1460-3551,https://journals.sagepub.com/loi/ECS,Hybrid,CC BY,Cultural Studies
European Journal of Industrial Relations,SAGE,0959-6801,1461-7129,https://journals.sagepub.com/loi/EJD,Hybrid,CCBY,Business & Management
European Journal of International Relations,SAGE,1354-0661,1460-3713,https://journals.sagepub.com/loi/EJT,Hybrid,CC BY,Political Science & International Relations
European Journal of Mass Spectrometry,SAGE,1469-0667,1751-6838,https://journals.sagepub.com/loi/EMS,Hybrid,CC BY,Materials Science & Engineering
European Journal of Ophthalmology,SAGE,1120-6721,1724-6016,https://journals.sagepub.com/loi/EJO,Hybrid,CC BY,Clinical Medicine
European Journal of Personality,SAGE,0890-2070,1099-0984,https://journals.sagepub.com/loi/ERP,Hybrid,CC BY,
European Journal of Political Theory,SAGE,1474-8851,1741-2730,https://journals.sagepub.com/loi/EPT,Hybrid,CC BY,Political Science & International Relations
European Journal of Probation,SAGE,2066-2203,2066-2203,https://journals.sagepub.com/loi/EJP,Hybrid,CC BY,Criminology & Criminal Justice
European Journal of Social Security,SAGE,1388-2627,2399-2948,https://journals.sagepub.com/loi/EJS,Hybrid,CC BY,Political Science & International Relations
European Journal of Social Theory,SAGE,1368-4310,1461-7137,https://journals.sagepub.com/loi/EST,Hybrid,CC BY,Cultural Studies
European Journal of Women's Studies,SAGE,1350-5068,1461-7420,https://journals.sagepub.com/loi/EJW,Hybrid,CC BY,Sociology
European Labour Law Journal,SAGE,2031-9525,2399-5556,https://journals.sagepub.com/loi/ELL,Hybrid,CC BY,Business & Management
European Physical Education Review,SAGE,1356-336X,1741-2749,https://journals.sagepub.com/loi/EPE,Hybrid,CC BY,Education
European Union Politics,SAGE,1465-1165,1741-2757,https://journals.sagepub.com/loi/EUP,Hybrid,CC BY,Political Science & International Relations
European Urban and Regional Studies,SAGE,0969-7764,1461-7145,https://journals.sagepub.com/loi/EUR,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Evaluation,SAGE,1356-3890,1461-7153,https://journals.sagepub.com/loi/EVI,Hybrid,CC BY,Research Methods & Evaluation
Evaluation & the Health Professions,SAGE,0163-2787,1552-3918,https://journals.sagepub.com/loi/EHP,Hybrid,CC BY,Public Health
Evaluation Journal of Australasia,SAGE,1035-719X,2515-9372,https://journals.sagepub.com/loi/EVJ,Hybrid,CC BY,Political Science & International Relations
Evaluation Review,SAGE,0193-841X,1552-3926,https://journals.sagepub.com/loi/ERX,Hybrid,CC BY,Research Methods & Evaluation
Exceptional Children,SAGE,0014-4029,2163-5560,https://journals.sagepub.com/loi/ECX,Hybrid,CC BY,Education
FACE,SAGE,2732-5016,2732-5016,https://journals.sagepub.com/loi/FAC,Hybrid,CC BY,
Families in Society,SAGE,1044-3894,1945-1350,https://journals.sagepub.com/loi/FIS,Hybrid,CC BY,Sociology
Family Business Review,SAGE,0894-4865,1741-6248,https://journals.sagepub.com/loi/FBR,Hybrid,CC BY,Business & Management
Feminism & Psychology,SAGE,0959-3535,1461-7161,https://journals.sagepub.com/loi/FAP,Hybrid,CCBY,Sociology
Feminist Criminology,SAGE,1557-0851,1557-086X,https://journals.sagepub.com/loi/FCX,Hybrid,CC BY,Criminology & Criminal Justice
Feminist Review,SAGE,0141-7789,1466-4380,https://journals.sagepub.com/loi/FER,Hybrid,CC BY,Sociology
Feminist Theology,SAGE,0966-7350,1745-5189,https://journals.sagepub.com/loi/FTH,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Feminist Theory,SAGE,1464-7001,1741-2773,https://journals.sagepub.com/loi/FTY,Hybrid,CCBY,Sociology
Field Methods,SAGE,1525-822X,1552-3969,https://journals.sagepub.com/loi/FMX,Hybrid,CC BY,Research Methods & Evaluation
FIIB Business Review,SAGE,2319-7145,2455-2658,https://journals.sagepub.com/loi/FIB,Hybrid,CC BY,Economics & Development Studies
First Language,SAGE,0142-7237,1740-2344,https://journals.sagepub.com/loi/FLA,Hybrid,CC BY,Language & Linguistics
Focus on Autism and Other Developmental Disabilities,SAGE,1088-3576,1538-4829,https://journals.sagepub.com/loi/FOA,Hybrid,CC BY,Education
Food and Nutrition Bulletin,SAGE,0379-5721,1564-8265,https://journals.sagepub.com/loi/FNB,Hybrid,CC BY,Public Health
Food Science and Technology International,SAGE,1082-0132,1532-1738,https://journals.sagepub.com/loi/FST,Hybrid,CC BY,Pharmacology & Toxicology
Foot & Ankle International,SAGE,1071-1007,1944-7876,https://journals.sagepub.com/loi/FAI,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Foot & Ankle Specialist,SAGE,1938-6400,1938-7636,https://journals.sagepub.com/loi/FAS,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Foregut,SAGE,2634-5161,2634-5161,https://journals.sagepub.com/loi/GUT,Hybrid,CC BY,
Foreign Trade Review,SAGE,0015-7325,0971-7625,https://journals.sagepub.com/loi/FTR,Hybrid,CCBY,Political Science & International Relations
Forum Italicum,SAGE,0014-5858,2168-989X,https://journals.sagepub.com/loi/FOI,Hybrid,CC BY,Language & Linguistics
French Cultural Studies,SAGE,0957-1558,1740-2352,https://journals.sagepub.com/loi/FRC,Hybrid,CC BY,Cultural Studies
Games and Culture,SAGE,1555-4120,1555-4139,https://journals.sagepub.com/loi/GAC,Hybrid,CC BY,Sociology
Gender & Society,SAGE,0891-2432,1552-3977,https://journals.sagepub.com/loi/GAS,Hybrid,CC BY,Sociology
Gender Equity: An Interdisciplinary Journal,SAGE,2977-7623,2977-7623,https://journals.sagepub.com/loi/GEQ,Hybrid,CC BY,Education
German Journal of Human Resource Management,SAGE,2397-0022,2397-0030,https://journals.sagepub.com/loi/GJH,Hybrid,CC BY,Business & Management
Gifted Child Quarterly,SAGE,0016-9862,1934-9041,https://journals.sagepub.com/loi/GCQ,Hybrid,CC BY,Education
Gifted Child Today,SAGE,1076-2175,2162-951X,https://journals.sagepub.com/loi/GCT,Hybrid,CC BY,Education
Gifted Education International,SAGE,0261-4294,2047-9077,https://journals.sagepub.com/loi/GEI,Hybrid,CC BY,Education
Global Business Review,SAGE,0972-1509,0973-0664,https://journals.sagepub.com/loi/GBR,Hybrid,CC BY,Business & Management
Global Health Promotion,SAGE,1757-9759,1757-9767,https://journals.sagepub.com/loi/PED,Hybrid,CC BY,Public Health
Global Journal of Emerging Market Economies,SAGE,0974-9101,0975-2730,https://journals.sagepub.com/loi/EME,Hybrid,CC BY,Economics & Development Studies
Global Media and Communication,SAGE,1742-7665,1742-7673,https://journals.sagepub.com/loi/GMC,Hybrid,CC BY,Communication & Media Studies
Global Social Policy,SAGE,1468-0181,1741-2803,https://journals.sagepub.com/loi/GSP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Global Studies of Childhood,SAGE,2043-6106,2043-6106,https://journals.sagepub.com/loi/GSC,Hybrid,CC BY,Education
Group & Organization Management,SAGE,1059-6011,1552-3993,https://journals.sagepub.com/loi/GOM,Hybrid,CC BY,Business & Management
Group Analysis,SAGE,0533-3164,1461-717X,https://journals.sagepub.com/loi/GAQ,Hybrid,CCBY,"Psychology, Psychiatry & Counseling"
Group Processes & Intergroup Relations,SAGE,1368-4302,1461-7188,https://journals.sagepub.com/loi/GPI,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
HAND,SAGE,1558-9447,1558-9455,https://journals.sagepub.com/loi/HAN,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Hand Therapy,SAGE,1758-9983,1758-9991,https://journals.sagepub.com/loi/HTH,Hybrid,CC BY,
Health,SAGE,1363-4593,1461-7196,https://journals.sagepub.com/loi/HEA,Hybrid,CC BY,Other Health Specialties
Health Education & Behavior,SAGE,1090-1981,1552-6127,https://journals.sagepub.com/loi/HEB,Hybrid,CC BY,Public Health
Health Education Journal,SAGE,0017-8969,1748-8176,https://journals.sagepub.com/loi/HEJ,Hybrid,CC BY,Other Health Specialties
Health Information Management Journal,SAGE,1833-3583,1833-3575,https://journals.sagepub.com/loi/HIM,Hybrid,CC BY,Public Health
Health Promotion Practice,SAGE,1524-8399,1552-6372,https://journals.sagepub.com/loi/HPP,Hybrid,CC BY,Public Health
Health Services Management Research,SAGE,0951-4848,1758-1044,https://journals.sagepub.com/loi/HSM,Hybrid,CC BY,
Healthcare Management Forum,SAGE,0840-4704,2352-3883,https://journals.sagepub.com/loi/HMF,Hybrid,CC BY,Public Health
HERD: Health Environments Research & Design Journal,SAGE,1937-5867,2167-5112,https://journals.sagepub.com/loi/HER,Hybrid,CC BY,Public Health
High Performance Polymers,SAGE,0954-0083,1361-6412,https://journals.sagepub.com/loi/HIP,Hybrid,CC BY,Materials Science & Engineering
Higher Education for the Future,SAGE,2347-6311,2348-5779,https://journals.sagepub.com/loi/HEF,Hybrid,CC BY,Education
HIP International,SAGE,1120-7000,1724-6067,https://journals.sagepub.com/loi/HPI,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Hispanic Health Care International,SAGE,1540-4153,1938-8993,https://journals.sagepub.com/loi/HCI,Hybrid,CC BY,Nursing
Hispanic Journal of Behavioral Sciences,SAGE,0739-9863,1552-6364,https://journals.sagepub.com/loi/HJB,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
History and Sociology of South Asia,SAGE,2230-8075,2249-5312,https://journals.sagepub.com/loi/HSA,Hybrid,CC BY,Area & Ethnic Studies
History of Psychiatry,SAGE,0957-154X,1740-2360,https://journals.sagepub.com/loi/HPY,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
History of Science,SAGE,0073-2753,1753-8564,https://journals.sagepub.com/loi/HOS,Hybrid,CC BY,History
History of the Human Sciences,SAGE,0952-6951,1461-720X,https://journals.sagepub.com/loi/HHS,Hybrid,CC BY,Science & Society Studies
Home Health Care Management & Practice,SAGE,1084-8223,1552-6739,https://journals.sagepub.com/loi/HHC,Hybrid,CC BY,Public Health
Homicide Studies,SAGE,1088-7679,1552-6720,https://journals.sagepub.com/loi/HSX,Hybrid,CC BY,Criminology & Criminal Justice
Hospital Pharmacy,SAGE,0018-5787,1945-1253,https://journals.sagepub.com/loi/HPX,Hybrid,CC BY,Pharmacology & Toxicology
HSS Journal®,SAGE,1556-3316,1556-3324,https://journals.sagepub.com/loi/HSS,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Human Antibodies,SAGE,1093-2607,1875-869X,https://journals.sagepub.com/loi/HAB,Hybrid,CC BY,Clinical Medicine
Human Factors,SAGE,0018-7208,1547-8181,https://journals.sagepub.com/loi/HFS,Hybrid,CCBY,"Psychology, Psychiatry & Counseling"
Human Geography,SAGE,1942-7786,2633-674X,https://journals.sagepub.com/loi/HUG,Hybrid,CCBY,
Human Relations,SAGE,0018-7267,1741-282X,https://journals.sagepub.com/loi/HUM,Hybrid,CC BY,Business & Management
Human Resource Development Review,SAGE,1534-4843,1552-6712,https://journals.sagepub.com/loi/HRD,Hybrid,CC BY,Business & Management
Human Systems,SAGE,2634-4041,2634-4041,https://journals.sagepub.com/loi/HUS,Hybrid,CC BY,
Human Systems Management,SAGE,0167-2533,1875-8703,https://journals.sagepub.com/loi/HSY,Hybrid,CC BY,Business & Management
Humanity & Society,SAGE,0160-5976,2372-9708,https://journals.sagepub.com/loi/HAS,Hybrid,CC BY,Sociology
ICGA Journal,SAGE,1389-6911,2468-2438,https://journals.sagepub.com/loi/ICG,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
IFLA Journal,SAGE,0340-0352,1745-2651,https://journals.sagepub.com/loi/IFL,Hybrid,CC BY,Vocational & Professional Studies
IIM Kozhikode Society & Management Review,SAGE,2277-9752,2321-029X,https://journals.sagepub.com/loi/KSM,Hybrid,CCBY,Business & Management
"Illness, Crisis & Loss",SAGE,1054-1373,1552-6968,https://journals.sagepub.com/loi/ICL,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
ILR Review,SAGE,0019-7939,2162-271X,https://journals.sagepub.com/loi/ILR,Hybrid,CC BY,Business & Management
"Imagination, Cognition and Personality",SAGE,0276-2366,1541-4477,https://journals.sagepub.com/loi/ICA,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Improving Schools,SAGE,1365-4802,1475-7583,https://journals.sagepub.com/loi/IMP,Hybrid,CC BY,Education
Incarceration,SAGE,2632-6663,2632-6663,https://journals.sagepub.com/loi/ICN,Hybrid,CC BY,
Inclusive Practices,SAGE,2732-4745,2732-4745,https://journals.sagepub.com/loi/IPX,Hybrid,CC BY,
Index on Censorship,SAGE,0306-4220,1746-6067,https://journals.sagepub.com/loi/IOC,Hybrid,CC BY,Communication & Media Studies
India Quarterly,SAGE,0974-9284,0975-2684,https://journals.sagepub.com/loi/IQQ,Hybrid,CC BY,Area & Ethnic Studies
Indian Historical Review,SAGE,0376-9836,0975-5977,https://journals.sagepub.com/loi/IHR,Hybrid,CCBY,History
Indian Journal of Clinical Medicine,SAGE,2633-9447,1179-9161,https://journals.sagepub.com/loi/ICM,Hybrid,CC BY,Clinical Medicine
Indian Journal of Corporate Governance,SAGE,0974-6862,2454-2482,https://journals.sagepub.com/loi/IJC,Hybrid,CC BY,Business & Management
Indian Journal of Gender Studies,SAGE,0971-5215,0973-0672,https://journals.sagepub.com/loi/IJG,Hybrid,CC BY,Sociology
Indian Journal of Human Development,SAGE,0973-7030,2456-480X,https://journals.sagepub.com/loi/JHD,Hybrid,CC BY,Economics & Development Studies
Indian Journal of Public Administration,SAGE,0019-5561,2457-0222,https://journals.sagepub.com/loi/IPA,Hybrid,CC BY,Political Science & International Relations
Indoor and Built Environment,SAGE,1420-326X,1423-0070,https://journals.sagepub.com/loi/IBE,Hybrid,CC BY,Materials Science & Engineering
Industry and Higher Education,SAGE,0950-4222,2043-6858,https://journals.sagepub.com/loi/IHE,Hybrid,CC BY,Business & Management
Information Development,SAGE,0266-6669,1741-6469,https://journals.sagepub.com/loi/IDV,Hybrid,CC BY,Vocational & Professional Studies
Information Polity,SAGE,1570-1255,1875-8754,https://journals.sagepub.com/loi/IPO,Hybrid,CC BY,Business & Management
Information Services and Use,SAGE,0167-5265,1875-8789,https://journals.sagepub.com/loi/ISU,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Information Visualization,SAGE,1473-8716,1473-8724,https://journals.sagepub.com/loi/IVI,Hybrid,CC BY,Communication & Media Studies
InnovAiT,SAGE,1755-7380,1755-7399,https://journals.sagepub.com/loi/INO,Hybrid,CC BY,Clinical Medicine
Innovations,SAGE,1556-9845,1559-0879,https://journals.sagepub.com/loi/INV,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Insight on Africa,SAGE,0975-0878,0976-3465,https://journals.sagepub.com/loi/IOA,Hybrid,CC BY,Area & Ethnic Studies
Institutionalised Children Explorations and Beyond,SAGE,2349-3003,2349-3011,https://journals.sagepub.com/loi/ICB,Hybrid,CC BY,
Integrated Computer-Aided Engineering,SAGE,1069-2509,1875-8835,https://journals.sagepub.com/loi/ICO,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Intelligent Data Analysis,SAGE,1088-467X,1571-4128,https://journals.sagepub.com/loi/IDA,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Intelligent Decision Technologies,SAGE,1872-4981,1875-8843,https://journals.sagepub.com/loi/IDT,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Intelligenza Artificiale,SAGE,1724-8035,2211-0097,https://journals.sagepub.com/loi/INA,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Interdisciplinary Science Reviews,SAGE,0308-0188,1743-2790,https://journals.sagepub.com/loi/IDS,Hybrid,CCBY,
International Bulletin of Mission Research,SAGE,2396-9393,2396-9407,https://journals.sagepub.com/loi/IBM,Hybrid,CCBY,"Religion, Theology and Biblical Studies"
International Communication Gazette,SAGE,1748-0485,1748-0493,https://journals.sagepub.com/loi/GAZ,Hybrid,CC BY,Communication & Media Studies
International Criminal Justice Review,SAGE,1057-5677,1556-3855,https://journals.sagepub.com/loi/ICJ,Hybrid,CC BY,Criminology & Criminal Justice
International Journal,SAGE,0020-7020,2052-465X,https://journals.sagepub.com/loi/IJX,Hybrid,CC BY,Political Science & International Relations
International Journal of Aeroacoustics,SAGE,1475-472X,2048-4003,https://journals.sagepub.com/loi/JAE,Hybrid,CC BY,Materials Science & Engineering
International Journal of Applied Electromagnetics and Mechanics,SAGE,1383-5416,1875-8800,https://journals.sagepub.com/loi/AEM,Hybrid,CC BY,Materials Science & Engineering
International Journal of Architectural Computing,SAGE,1478-0771,2048-3988,https://journals.sagepub.com/loi/JAC,Hybrid,CC BY,Materials Science & Engineering
International Journal of Behavioral Development,SAGE,0165-0254,1464-0651,https://journals.sagepub.com/loi/JBD,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
International Journal of Bilingualism,SAGE,1367-0069,1756-6878,https://journals.sagepub.com/loi/IJB,Hybrid,CC BY,Language & Linguistics
International Journal of Business Communication,SAGE,2329-4884,2329-4892,https://journals.sagepub.com/loi/JOB,Hybrid,CC BY,Communication & Media Studies
International Journal of Care Coordination,SAGE,2053-4345,2053-4353,https://journals.sagepub.com/loi/ICP,Hybrid,CC BY,
International Journal of Christianity & Education,SAGE,2056-9971,2056-998X,https://journals.sagepub.com/loi/ICE,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
International Journal of Clinical Metabolism and Diabetes,SAGE,3050-2071,3050-208X,https://journals.sagepub.com/loi/CMD,Hybrid,CC BY,
International Journal of Commerce and Contracting,SAGE,2976-8829,2976-8837,https://journals.sagepub.com/loi/JSC,Hybrid,CC BY,Business & Management
International Journal of Comparative Sociology,SAGE,0020-7152,1745-2554,https://journals.sagepub.com/loi/COS,Hybrid,CC BY,Sociology
International Journal of Cross Cultural Management,SAGE,1470-5958,1741-2838,https://journals.sagepub.com/loi/CCM,Hybrid,CC BY,Business & Management
International Journal of Cultural Studies,SAGE,1367-8779,1460-356X,https://journals.sagepub.com/loi/ICS,Hybrid,CC BY,Cultural Studies
International Journal of Damage Mechanics,SAGE,1056-7895,1530-7921,https://journals.sagepub.com/loi/IJD,Hybrid,CC BY,Materials Science & Engineering
International Journal of Developmental Science,SAGE,2192-001X,2191-7485,https://journals.sagepub.com/loi/DEV,Hybrid,CC BY,Social Work & Social Policy
International Journal of Discrimination and the Law,SAGE,1358-2291,2047-9468,https://journals.sagepub.com/loi/JDI,Hybrid,CC BY,Criminology & Criminal Justice
International Journal of Educational Reform,SAGE,1056-7879,-,https://journals.sagepub.com/loi/REF,Hybrid,CC BY,Education
International Journal of Electrical Engineering & Education,SAGE,0020-7209,2050-4578,https://journals.sagepub.com/loi/IJE,Hybrid,CC BY,Materials Science & Engineering
International Journal of Engine Research,SAGE,1468-0874,1468-0874,https://journals.sagepub.com/home/jer,Hybrid,CCBY,
International Journal of Forensic Mental Health,SAGE,1499-9013,1932-9903,https://journals.sagepub.com/loi/FMH,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
International Journal of Hybrid Intelligent Systems,SAGE,1448-5869,1875-8819,https://journals.sagepub.com/loi/HYB,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
International Journal of Knowledge-Based and Intelligent Engineering Systems,SAGE,1327-2314,1875-8827,https://journals.sagepub.com/loi/KES,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
International Journal of Maritime History,SAGE,0843-8714,2052-7756,https://journals.sagepub.com/loi/IJH,Hybrid,CC BY,History
International Journal of Market Research,SAGE,1470-7853,2515-2173,https://journals.sagepub.com/loi/MRE,Hybrid,CC BY,Sociology
International Journal of Mass Emergencies & Disasters,SAGE,0280-7270,2753-5703,https://journals.sagepub.com/loi/MED,Hybrid,CCBY,Sociology
International Journal of Mechanical Engineering Education,SAGE,0306-4190,2050-4586,https://journals.sagepub.com/loi/IJJ,Hybrid,CC BY,Materials Science & Engineering
International Journal of Music Education,SAGE,0255-7614,1744-795X,https://journals.sagepub.com/loi/IJM,Hybrid,CC BY,Arts & Humanities
International Journal of Offender Therapy and Comparative Criminology,SAGE,0306-624X,1552-6933,https://journals.sagepub.com/loi/IJO,Hybrid,CC BY,Criminology & Criminal Justice
International Journal of Police Science & Management,SAGE,1461-3557,1478-1603,https://journals.sagepub.com/loi/PSM,Hybrid,CC BY,Criminology & Criminal Justice
International Journal of Protective Structures,SAGE,2041-4196,2041-420X,https://journals.sagepub.com/loi/PRS,Hybrid,CC BY,Materials Science & Engineering
International Journal of RF Technologies,SAGE,1754-5730,1754-5749,https://journals.sagepub.com/loi/RFT,Hybrid,CC BY,Materials Science & Engineering
International Journal of Risk & Safety in Medicine,SAGE,0924-6479,1878-6847,https://journals.sagepub.com/loi/JRK,Hybrid,CC BY,Public Health
International Journal of Rural Management,SAGE,0973-0052,0973-0680,https://journals.sagepub.com/loi/IRM,Hybrid,CC BY,Business & Management
International Journal of Social Determinants of Health and Health Services,SAGE,2755-1938,2755-1946,https://journals.sagepub.com/loi/JOH,Hybrid,CC BY,Public Health
